Program Code,Product Code,Doses Per Month,Is Active,Product Category,Display Order
art,P10048,60,t,antiretrovials,1
art,P12573,120,t,antiretrovials,2
art,S00056L,1,t,protective,4
art,A53007D,60,t,antibiotics,3
em,A41099,90,t,antibiotics,3
em,A427826,60,t,antibiotics,2
em,A581453,3,t,antibiotics,1
em,S00056L,1,t,protective,5
em,A53007D,60,t,antibiotics,4
em,P200563,30,t,antacids,6
malaria,A41099,90,t,malariaprophylaxis,5
malaria,KM3375-2,1,t,testkits,4
malaria,P000833,60,t,antimalarials,1
malaria,N-378013,1,t,antipyretics,2
malaria,P-228438,60,t,antipyretics,3
epi,bcg20,99,t,vac,16
epi,polio10,99,t,vac,17
epi,polio20,99,t,vac,18
epi,penta1,99,t,vac,19
epi,penta10,99,t,vac,20
epi,pcv10,99,t,vac,21
epi,hpv2,99,t,vac,26
epi,measles10,99,t,vac,22
epi,yfv1,99,t,vac,24
epi,tetanus10,99,t,vac,28
epi,syringe5ml,99,t,nonvac,34
epi,syringe05ml,99,t,nonvac,32
epi,syringe005ml,99,t,nonvac,31
epi,syringe067ml,99,t,novac,33
epi,safetybox,99,t,nonvac,37
